participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
1,branch_RTLE3,dualbranch,event,right,top,long,6.0,IC
1,chain_RM,chain,,right,,medium,,RC
1,branch_RTLE1,dualbranch,event,right,top,long,2.0,IC
1,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RC_IC
1,chain_RL,chain,,right,,long,,RC
1,chain_RS,chain,,right,,short,,RC_IC
1,branch_RTME3,dualbranch,event,right,bottom,medium,6.0,IC
1,branch_RTSS,dualbranch,state,right,bottom,short,,RC_IC
1,branch_RTME1,dualbranch,event,right,top,medium,2.0,IC
1,branch_RTME2,dualbranch,event,right,bottom,medium,4.0,IC
1,branch_RTMS,dualbranch,state,right,bottom,medium,,IC
1,branch_RTLE2,dualbranch,event,right,top,long,4.0,IC
1,branch_RTLS,dualbranch,state,right,top,long,,IC
1,branch_RTSE3,dualbranch,event,right,top,short,6.0,RC_IC
1,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RC_IC
2,chain_RM,chain,,left,,medium,,RC
2,branch_RTME1,dualbranch,event,left,top,medium,2.0,RD
2,branch_RTSE2,dualbranch,event,left,top,short,4.0,RD_ID
2,branch_RTLS,dualbranch,state,left,top,long,,RC
2,branch_RTLE2,dualbranch,event,left,top,long,4.0,RC
2,branch_RTSE1,dualbranch,event,left,top,short,2.0,RC_IC
2,branch_RTME2,dualbranch,event,left,top,medium,4.0,RC
2,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RC
2,branch_RTLE1,dualbranch,event,left,bottom,long,2.0,RC
2,chain_RS,chain,,left,,short,,RC_IC
2,chain_RL,chain,,left,,long,,RC
2,branch_RTSS,dualbranch,state,left,top,short,,RC_IC
2,branch_RTSE3,dualbranch,event,left,top,short,6.0,RC_IC
2,branch_RTME3,dualbranch,event,left,top,medium,6.0,RC
2,branch_RTMS,dualbranch,state,left,bottom,medium,,RC
3,chain_RL,chain,,right,,long,,RC
3,branch_RTME2,dualbranch,event,right,top,medium,4.0,RD
3,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RD_ID
3,chain_RM,chain,,right,,medium,,RC
3,branch_RTSE3,dualbranch,event,right,bottom,short,6.0,RD_ID
